section,metric,computed,ppt,match
dataset,training_rows,8693,8693,True
dataset,test_rows,4277,4277,True
dataset,raw_predictive_columns,13,13,True
dataset,positive_rate,50.36%,50.36%,True
dataset,largest_missing_rate,2.50%,2.50%,True
dataset,multi_passenger_row_rate,44.7%,44.7%,True
dataset,group_homogeneous_rate,87.18%,87.18%,True
eda,deck_b_transport_rate,73%,73%,True
eda,deck_t_transport_rate,20%,20%,True
eda,europa_transport_rate,66%,66%,True
eda,earth_transport_rate,42%,42%,True
eda,no_spend_rate_if_transported,65.6%,spend signal,True
eda,no_spend_rate_if_not_transported,18.1%,spend signal,True
benchmark,CatBoost_cv_accuracy,0.8135,0.8135,True
benchmark,XGBoost_cv_accuracy,0.8106,0.8106,True
benchmark,LightGBM_cv_accuracy,0.8086,0.8086,True
benchmark,Random Forest_cv_accuracy,0.8062,0.8062,True
benchmark,Logistic Regression_cv_accuracy,0.7987,0.7987,True
ablation,Raw official features,0.7973,0.7973,True
ablation,+ Cabin features,0.8125,0.8125,True
ablation,+ Group features,0.8120,0.8120,True
ablation,+ Spend summaries,0.8113,0.8113,True
ablation,+ Rule-consistency,0.8097,0.8097,True
tuning,LightGBM_audit_delta,0.0031,0.0031,True
tuning,CatBoost_audit_delta,0.0023,0.0023,True
cv_public,High-CV CatBoost candidate_local,0.81905,0.81905,True
cv_public,High-CV CatBoost candidate_public,0.80593,0.80593,True
cv_public,Public-best XGB branch_local,0.80516,0.80516,True
cv_public,Public-best XGB branch_public,0.81716,0.81716,True
xgb_reconstruction,Compact preprocessing branch,0.80445,0.80445,True
xgb_reconstruction,+ IsolationForest diagnostic,0.80314,0.80314,True
xgb_reconstruction,+ Feature pruning,0.80755,0.80755,True
xgb_reconstruction,Strict group-aware audit,0.80516,0.80516,True
