candidate,row_cv_mean,row_cv_std,group_cv_mean,group_cv_std,params,row_delta_vs_final,group_delta_vs_final
900 trees,0.8061656666827688,0.0074881164376448175,0.8061101585363696,0.011593706010192576,"{""colsample_bytree"": 0.93, ""eval_metric"": ""logloss"", ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 900, ""n_jobs"": 1, ""random_state"": 42, ""reg_alpha"": 4.582, ""reg_lambda"": 3.06, ""subsample"": 0.96, ""verbosity"": 0}",0.00138023585370739,0.00013622336245955324
LR 0.06,0.8061655343368244,0.007063247491889965,0.8065618995484274,0.011616408568972513,"{""colsample_bytree"": 0.93, ""eval_metric"": ""logloss"", ""learning_rate"": 0.06, ""max_depth"": 5, ""n_estimators"": 600, ""n_jobs"": 1, ""random_state"": 42, ""reg_alpha"": 4.582, ""reg_lambda"": 3.06, ""subsample"": 0.96, ""verbosity"": 0}",0.0013801035077629642,0.000587964374517358
Lighter regularization,0.805359812227574,0.008069343404099297,0.8060911735984876,0.013880543157414686,"{""colsample_bytree"": 0.93, ""eval_metric"": ""logloss"", ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 725, ""n_jobs"": 1, ""random_state"": 42, ""reg_alpha"": 2.0, ""reg_lambda"": 1.5, ""subsample"": 0.96, ""verbosity"": 0}",0.0005743813985126245,0.00011723842457755929
Depth 6,0.8050151172154942,0.007972483557083541,0.8049658836284822,0.011093147317465047,"{""colsample_bytree"": 0.93, ""eval_metric"": ""logloss"", ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 725, ""n_jobs"": 1, ""random_state"": 42, ""reg_alpha"": 4.582, ""reg_lambda"": 3.06, ""subsample"": 0.96, ""verbosity"": 0}",0.0002296863864328369,-0.0010080515454278238
Final branch params,0.8047854308290614,0.008459308400178325,0.80597393517391,0.012800010394691802,"{""colsample_bytree"": 0.93, ""eval_metric"": ""logloss"", ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 725, ""n_jobs"": 1, ""random_state"": 42, ""reg_alpha"": 4.582, ""reg_lambda"": 3.06, ""subsample"": 0.96, ""verbosity"": 0}",0.0,0.0
Lean sampling,0.8047853646560892,0.008669473968074359,0.8066808200547086,0.01196469066000909,"{""colsample_bytree"": 0.88, ""eval_metric"": ""logloss"", ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 725, ""n_jobs"": 1, ""random_state"": 42, ""reg_alpha"": 4.582, ""reg_lambda"": 3.06, ""subsample"": 0.9, ""verbosity"": 0}",-6.617297221289675e-08,0.0007068848807986194
500 trees,0.8046704222034144,0.008613649655969051,0.8059743327790592,0.013897317863632712,"{""colsample_bytree"": 0.93, ""eval_metric"": ""logloss"", ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 500, ""n_jobs"": 1, ""random_state"": 42, ""reg_alpha"": 4.582, ""reg_lambda"": 3.06, ""subsample"": 0.96, ""verbosity"": 0}",-0.00011500862564695069,3.976051491383359e-07
Heavier regularization,0.8045554797507396,0.008571371553379456,0.8057267670328805,0.014309819127242052,"{""colsample_bytree"": 0.93, ""eval_metric"": ""logloss"", ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 725, ""n_jobs"": 1, ""random_state"": 42, ""reg_alpha"": 6.0, ""reg_lambda"": 4.0, ""subsample"": 0.96, ""verbosity"": 0}",-0.0002299510783217995,-0.0002471681410295412
Full sampling,0.8039797748927832,0.007909014164361825,0.8047085364460976,0.013860022109584017,"{""colsample_bytree"": 1.0, ""eval_metric"": ""logloss"", ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 725, ""n_jobs"": 1, ""random_state"": 42, ""reg_alpha"": 4.582, ""reg_lambda"": 3.06, ""subsample"": 1.0, ""verbosity"": 0}",-0.0008056559362782378,-0.0012653987278123946
LR 0.03,0.8034048641104929,0.008539786961346342,0.8055209163988092,0.013189761925837571,"{""colsample_bytree"": 0.93, ""eval_metric"": ""logloss"", ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 900, ""n_jobs"": 1, ""random_state"": 42, ""reg_alpha"": 4.582, ""reg_lambda"": 3.06, ""subsample"": 0.96, ""verbosity"": 0}",-0.0013805667185684545,-0.0004530187751008441
Depth 4,0.8027147461836392,0.008241983817377981,0.8057513733887249,0.01369520955307887,"{""colsample_bytree"": 0.93, ""eval_metric"": ""logloss"", ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 725, ""n_jobs"": 1, ""random_state"": 42, ""reg_alpha"": 4.582, ""reg_lambda"": 3.06, ""subsample"": 0.96, ""verbosity"": 0}",-0.0020706846454221495,-0.00022256178518509362
